1,2,3,4,5,6,7,8,9,10
AVPEPUDEAC0021,AVPEPUDEAC0019,AVPEPUDEAC0020,AVPEPUDEAC0020,AVPEPUDEAC0020,AVPEPUDEAC0019,AVPEPUDEAC0021,AVPEPUDEAC0020,AVPEPUDEAC0019,AVPEPUDEAC0018
AVPEPUDEA0021,AVPEPUDEA0022,AVPEPUDEA0017,AVPEPUDEA0020,AVPEPUDEA0021,AVPEPUDEA0021,AVPEPUDEA0017,AVPEPUDEA0021,AVPEPUDEA0021,AVPEPUDEA0021
AVPEPUDEA0046,AVPEPUDEA0047,AVPEPUDEA0046,AVPEPUDEA0046,AVPEPUDEA0047,AVPEPUDEA0048,AVPEPUDEA0047,AVPEPUDEA0046,AVPEPUDEA0048,AVPEPUDEA0046
AVPEPUDEA0039,AVPEPUDEA0041,AVPEPUDEA0038,AVPEPUDEA0038,AVPEPUDEA0041,AVPEPUDEA0039,AVPEPUDEA0038,AVPEPUDEA0039,AVPEPUDEA0042,AVPEPUDEA0039
AVPEPUDEAC0028,AVPEPUDEAC0027,AVPEPUDEAC0027,AVPEPUDEAC0027,AVPEPUDEAC0030,AVPEPUDEAC0026,AVPEPUDEAC0029,AVPEPUDEAC0027,AVPEPUDEAC0027,AVPEPUDEAC0028
AVPEPUDEA0026,AVPEPUDEA0027,AVPEPUDEA0025,AVPEPUDEA0026,AVPEPUDEA0027,AVPEPUDEA0026,AVPEPUDEA0024,AVPEPUDEA0027,AVPEPUDEA0026,AVPEPUDEA0027
AVPEPUDEAC0047,AVPEPUDEAC0048,AVPEPUDEAC0047,AVPEPUDEAC0048,AVPEPUDEAC0048,AVPEPUDEAC0045,AVPEPUDEAC0048,AVPEPUDEAC0047,AVPEPUDEAC0046,AVPEPUDEAC0048
AVPEPUDEA0041,AVPEPUDEA0042,AVPEPUDEA0041,AVPEPUDEA0039,AVPEPUDEA0042,AVPEPUDEA0041,AVPEPUDEA0039,AVPEPUDEA0041,AVPEPUDEA0043,AVPEPUDEA0041
AVPEPUDEAC0031,AVPEPUDEAC0030,AVPEPUDEAC0031,AVPEPUDEAC0031,AVPEPUDEAC0034,AVPEPUDEAC0029,AVPEPUDEAC0033,AVPEPUDEAC0030,AVPEPUDEAC0030,AVPEPUDEAC0031
AVPEPUDEAC0051,AVPEPUDEAC0052,AVPEPUDEAC0052,AVPEPUDEAC0052,AVPEPUDEAC0052,AVPEPUDEAC0050,AVPEPUDEAC0052,AVPEPUDEAC0052,AVPEPUDEAC0050,AVPEPUDEAC0052
AVPEPUDEA0047,AVPEPUDEA0048,AVPEPUDEA0047,AVPEPUDEA0047,AVPEPUDEA0048,AVPEPUDEA0049,AVPEPUDEA0049,AVPEPUDEA0047,AVPEPUDEA0049,AVPEPUDEA0048
AVPEPUDEA0056,AVPEPUDEA0055,AVPEPUDEA0056,AVPEPUDEA0055,AVPEPUDEA0055,AVPEPUDEA0056,AVPEPUDEA0056,AVPEPUDEA0055,AVPEPUDEA0056,AVPEPUDEA0056
AVPEPUDEA0029,AVPEPUDEA0029,AVPEPUDEA0027,AVPEPUDEA0027,AVPEPUDEA0029,AVPEPUDEA0027,AVPEPUDEA0025,AVPEPUDEA0029,AVPEPUDEA0027,AVPEPUDEA0029
AVPEPUDEAC0019,AVPEPUDEAC0017,AVPEPUDEAC0018,AVPEPUDEAC0018,AVPEPUDEAC0017,AVPEPUDEAC0016,AVPEPUDEAC0018,AVPEPUDEAC0018,AVPEPUDEAC0017,AVPEPUDEAC0016
AVPEPUDEA0052,AVPEPUDEA0052,AVPEPUDEA0052,AVPEPUDEA0051,AVPEPUDEA0052,AVPEPUDEA0053,AVPEPUDEA0053,AVPEPUDEA0051,AVPEPUDEA0053,AVPEPUDEA0053
AVPEPUDEAC0004,AVPEPUDEAC0003,AVPEPUDEAC0003,AVPEPUDEAC0004,AVPEPUDEAC0003,AVPEPUDEAC0003,AVPEPUDEAC0003,AVPEPUDEAC0003,AVPEPUDEAC0003,AVPEPUDEAC0003
AVPEPUDEA0048,AVPEPUDEA0049,AVPEPUDEA0048,AVPEPUDEA0048,AVPEPUDEA0049,AVPEPUDEA0050,AVPEPUDEA0050,AVPEPUDEA0048,AVPEPUDEA0050,AVPEPUDEA0049
